combo_id,strategy_id,strategy_name,param1_name,param1_value,param2_name,param2_value,metric_name,metric_value
rsi_mean_reversion__14__35,rsi_mean_reversion,RSI Mean Reversion,rsi_length,14.0,oversold_threshold,35.0,profit_factor,1.054019172479741
rsi_mean_reversion__14__40,rsi_mean_reversion,RSI Mean Reversion,rsi_length,14.0,oversold_threshold,40.0,sharpe_ratio,-37.072768227075
rsi_mean_reversion__14__40,rsi_mean_reversion,RSI Mean Reversion,rsi_length,14.0,oversold_threshold,40.0,total_return_pct,-2.383164220875511
rsi_mean_reversion__14__40,rsi_mean_reversion,RSI Mean Reversion,rsi_length,14.0,oversold_threshold,40.0,max_drawdown_pct,-2.535000833108092
rsi_mean_reversion__14__40,rsi_mean_reversion,RSI Mean Reversion,rsi_length,14.0,oversold_threshold,40.0,profit_factor,0.6518194381925108
rsi_mean_reversion__20__20,rsi_mean_reversion,RSI Mean Reversion,rsi_length,20.0,oversold_threshold,20.0,sharpe_ratio,13.994084426776148
rsi_mean_reversion__20__20,rsi_mean_reversion,RSI Mean Reversion,rsi_length,20.0,oversold_threshold,20.0,total_return_pct,0.18154790259192755
rsi_mean_reversion__20__20,rsi_mean_reversion,RSI Mean Reversion,rsi_length,20.0,oversold_threshold,20.0,max_drawdown_pct,-0.09032564153363953
rsi_mean_reversion__20__20,rsi_mean_reversion,RSI Mean Reversion,rsi_length,20.0,oversold_threshold,20.0,profit_factor,999999.0
rsi_mean_reversion__20__25,rsi_mean_reversion,RSI Mean Reversion,rsi_length,20.0,oversold_threshold,25.0,sharpe_ratio,16.403792385397388
rsi_mean_reversion__20__25,rsi_mean_reversion,RSI Mean Reversion,rsi_length,20.0,oversold_threshold,25.0,total_return_pct,0.3784557369220787
rsi_mean_reversion__20__25,rsi_mean_reversion,RSI Mean Reversion,rsi_length,20.0,oversold_threshold,25.0,max_drawdown_pct,-0.3549880844984088
rsi_mean_reversion__20__25,rsi_mean_reversion,RSI Mean Reversion,rsi_length,20.0,oversold_threshold,25.0,profit_factor,14.372071213873364
rsi_mean_reversion__20__30,rsi_mean_reversion,RSI Mean Reversion,rsi_length,20.0,oversold_threshold,30.0,sharpe_ratio,-1.9909973947334871
rsi_mean_reversion__20__30,rsi_mean_reversion,RSI Mean Reversion,rsi_length,20.0,oversold_threshold,30.0,total_return_pct,-0.06910730807857535
rsi_mean_reversion__20__30,rsi_mean_reversion,RSI Mean Reversion,rsi_length,20.0,oversold_threshold,30.0,max_drawdown_pct,-0.4558819383096435
rsi_mean_reversion__20__30,rsi_mean_reversion,RSI Mean Reversion,rsi_length,20.0,oversold_threshold,30.0,profit_factor,2.787499604440502
rsi_mean_reversion__20__35,rsi_mean_reversion,RSI Mean Reversion,rsi_length,20.0,oversold_threshold,35.0,sharpe_ratio,-2.693784392273402
rsi_mean_reversion__20__35,rsi_mean_reversion,RSI Mean Reversion,rsi_length,20.0,oversold_threshold,35.0,total_return_pct,-0.13711280681243387
rsi_mean_reversion__20__35,rsi_mean_reversion,RSI Mean Reversion,rsi_length,20.0,oversold_threshold,35.0,max_drawdown_pct,-0.6356656152839313
rsi_mean_reversion__20__35,rsi_mean_reversion,RSI Mean Reversion,rsi_length,20.0,oversold_threshold,35.0,profit_factor,1.7163127527027868
